CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/24/2021,16:00,BROOKLYN,11216,40.6752,-73.950005,"(40.6752, -73.950005)",NOSTRAND AVENUE,SAINT MARKS AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4489694,Station Wagon/Sport Utility Vehicle,,,,
09/27/2021,1:00,BROOKLYN,11216,40.67934,-73.944336,"(40.67934, -73.944336)",,,280       HERKIMER STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4461303,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/21/2021,15:31,BROOKLYN,11216,40.681633,-73.95133,"(40.681633, -73.95133)",HALSEY STREET,ARLINGTON PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,4419399,Sedan,Sedan,,,
05/20/2021,22:20,BROOKLYN,11216,40.67765,-73.949776,"(40.67765, -73.949776)",PACIFIC STREET,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4419412,Sedan,,,,
05/19/2021,14:40,BROOKLYN,11216,40.691147,-73.94689,"(40.691147, -73.94689)",,,203       KOSCIUSZKO STREET,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4418252,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
04/28/2021,22:10,BROOKLYN,11216,40.678238,-73.94415,"(40.678238, -73.94415)",ATLANTIC AVENUE,BROOKLYN AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,4419924,Sedan,,,,
05/23/2021,1:49,BROOKLYN,11216,40.687244,-73.95469,"(40.687244, -73.95469)",BEDFORD AVENUE,LEXINGTON AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4419859,Sedan,Bike,,,
05/23/2021,14:40,BROOKLYN,11216,40.685112,-73.94717,"(40.685112, -73.94717)",MARCY AVENUE,MADISON STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4420554,Sedan,,,,
05/19/2021,16:55,BROOKLYN,11216,40.67625,-73.95308,"(40.67625, -73.95308)",BEDFORD AVENUE,BERGEN STREET,,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4421053,Motorcycle,Sedan,,,
04/24/2021,15:30,BROOKLYN,11216,40.671787,-73.95311,"(40.671787, -73.95311)",SAINT JOHNS PLACE,ROGERS AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4421069,Station Wagon/Sport Utility Vehicle,,,,
05/25/2021,17:45,BROOKLYN,11216,40.669704,-73.94774,"(40.669704, -73.94774)",EASTERN PARKWAY,NEW YORK AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4420368,Taxi,Taxi,,,
04/29/2021,15:49,BROOKLYN,11216,40.676853,-73.949326,"(40.676853, -73.949326)",,,1201      DEAN STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4421072,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
10/01/2021,1:25,BROOKLYN,11216,40.669865,-73.95051,"(40.669865, -73.95051)",NOSTRAND AVENUE,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4463480,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/27/2021,23:36,BROOKLYN,11216,40.68397,-73.944046,"(40.68397, -73.944046)",TOMPKINS AVENUE,JEFFERSON AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4421789,Bike,,,,
05/21/2021,23:50,BROOKLYN,11216,40.682537,-73.95002,"(40.682537, -73.95002)",NOSTRAND AVENUE,HANCOCK STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4421777,Bike,,,,
09/30/2021,10:16,BROOKLYN,11216,40.684,-73.95031,"(40.684, -73.95031)",PUTNAM AVENUE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4462692,Sedan,Lift Boom,,,
09/21/2021,16:05,BROOKLYN,11216,40.678963,-73.94965,"(40.678963, -73.94965)",HERKIMER PLACE,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4463586,Bus,Sedan,,,
03/31/2022,3:22,BROOKLYN,11216,40.68137,-73.94063,"(40.68137, -73.94063)",MACDONOUGH STREET,THROOP AVENUE,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4515476,,,,,
03/25/2022,3:10,BROOKLYN,11216,40.685375,-73.95433,"(40.685375, -73.95433)",,,1142      BEDFORD AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4515734,Sedan,,,,
10/02/2021,2:00,BROOKLYN,11216,40.676243,-73.95269,"(40.676243, -73.95269)",ROGERS AVENUE,BERGEN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4463454,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
09/30/2021,8:33,BROOKLYN,11216,40.68384,-73.95162,"(40.68384, -73.95162)",,,244       PUTNAM AVENUE,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4464049,Sedan,,,,
05/29/2021,0:00,BROOKLYN,11216,40.67238,-73.94749,"(40.67238, -73.94749)",STERLING PLACE,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4422917,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/31/2021,2:42,BROOKLYN,11216,40.681805,-73.94987,"(40.681805, -73.94987)",NOSTRAND AVENUE,HALSEY STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4422538,Sedan,Sedan,,,
04/01/2022,11:30,BROOKLYN,11216,40.67657,-73.94431,"(40.67657, -73.94431)",BROOKLYN AVENUE,DEAN STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4515823,Box Truck,Sedan,,,
12/16/2021,20:20,BROOKLYN,11216,40.677845,-73.95282,"(40.677845, -73.95282)",BEDFORD AVENUE,PACIFIC STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4490787,Station Wagon/Sport Utility Vehicle,,,,
06/01/2021,6:13,BROOKLYN,11216,40.669765,-73.94869,"(40.669765, -73.94869)",,,597       EASTERN PARKWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4422932,Station Wagon/Sport Utility Vehicle,Sedan,,,
10/02/2021,16:20,BROOKLYN,11216,40.680717,-73.9463,"(40.680717, -73.9463)",MACDONOUGH STREET,MARCY AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4464465,Sedan,E-Scooter,,,
04/06/2021,10:45,BROOKLYN,11216,40.67416,-73.94732,"(40.67416, -73.94732)",PROSPECT PLACE,NEW YORK AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4424025,Sedan,Sedan,,,
03/10/2021,13:08,BROOKLYN,11216,40.676094,-73.94992,"(40.676094, -73.94992)",NOSTRAND AVENUE,BERGEN STREET,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4423968,Sedan,Bike,,,
06/01/2021,15:05,BROOKLYN,11216,40.67646,-73.9499,"(40.67646, -73.9499)",,,642       NOSTRAND AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4423881,Van,,,,
06/03/2021,5:25,BROOKLYN,11216,40.67625,-73.95308,"(40.67625, -73.95308)",BEDFORD AVENUE,BERGEN STREET,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unsafe Speed,,,,4423891,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/02/2022,10:30,BROOKLYN,11216,40.678722,-73.952995,"(40.678722, -73.952995)",BEDFORD AVENUE,ATLANTIC AVENUE,,2,0,0,0,0,0,2,0,Other Vehicular,Traffic Control Disregarded,,,,4515494,Sedan,Motorcycle,,,
12/25/2021,3:16,BROOKLYN,11216,40.68039,-73.94956,"(40.68039, -73.94956)",FULTON STREET,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4490891,Station Wagon/Sport Utility Vehicle,Sedan,,,
